	1
0	der
1	die
2	ist
3	das
4	in
5	den
6	auf
7	ein
8	werden
9	sie
10	eine
11	und
12	mit
13	von
14	wird
15	fr
16	des
17	sind
18	sich
19	es
20	dem
21	nicht
22	im
23	wurde
24	war
25	an
26	zu
27	auch
28	aus
29	hat
30	einen
31	einer
32	um
33	noch
34	bei
35	einem
36	er
37	prozent
38	nach
39	ber
40	wir
41	euro
42	haben
43	durch
44	vor
45	ich
46	gibt
47	am
48	nur
49	wurden
50	kann
51	diese
52	sei
53	aber
54	soll
55	hatte
56	knnen
57	waren
58	zum
59	wieder
60	zur
61	ab
62	hier
63	keine
64	geht
65	sehr
66	sein
67	als
68	was
69	dann
70	gibtes
71	wie
72	gegen
73	schon
74	jedoch
75	immer
76	dies
77	so
78	doch
79	habe
80	jetzt
81	liegt
82	nun
83	kommt
84	mehr
85	mssen
86	neue
87	unter
88	uhr
89	muss
90	bis
91	eines
92	steht
93	ihre
94	auerdem
95	dort
96	diesem
97	seien
98	sollen
99	yahoo
100	uns
101	weiter
102	polizei
103	bereits
104	dieser
105	ander
106	bleibt
107	oder
108	will
109	zeit
110	ihr
111	beim
112	erste
113	ersten
114	damit
115	millionen
116	kein
117	dabei
118	jahre
119	jahren
120	gut
121	ganz
122	seine
123	vom
124	werde
125	da
126	man
127	wre
128	zwischen
129	allerdings
130	also
131	jahr
132	stadt
133	unternehmen
134	zwei
135	menschen
136	erfolgt
137	gab
138	hatten
139	ja
140	kam
141	ebenfalls
142	zurck
143	informationen
144	besteht
145	sollte
146	worden
147	betrgt
148	rund
149	alle
150	kommen
151	mich
152	mglich
153	weitere
154	ende
155	andie
156	drei
157	gehen
158	groe
159	ihm
160	ohne
161	finden
162	findet
163	heute
164	neuen
165	dollar
166	mal
167	natrlich
168	nchsten
169	arbeit
170	viele
171	welt
172	beginnt
173	erhalten
174	wegen
175	dazu
176	zudem
177	bin
178	etwa
179	seit
180	vielleicht
181	erst
182	gehrt
183	konnte
184	macht
185	mir
186	dafr
187	danach
188	du
189	september
190	tag
191	teil
192	weg
193	wer
194	zukunft
195	bietet
196	etwas
197	ging
198	kaum
199	keinen
200	nichts
201	statt
202	entscheidung
203	frage
204	kinder
205	millioneneuro
206	welche
207	ins
208	mu
209	seinen
210	sieht
211	stehen
212	wollen
213	berlin
214	geld
215	geschichte
216	insgesamt
217	mann
218	deutlich
219	geplant
220	gilt
221	leicht
222	stieg
223	viel
224	dieses
225	ihnen
226	problem
227	seiten
228	titel
229	einfach
230	ihn
231	istnicht
232	machen
233	nie
234	nochnicht
235	unsere
236	20
237	deshalb
238	frau
239	grund
240	spiel
241	anden
242	gute
243	jeweils
244	liegen
245	sogar
246	wohl
247	zeigt
248	entwicklung
249	erfolg
250	punkte
251	seite
252	bekannt
253	ca
254	derzeit
255	eigenen
256	fast
257	knnte
258	lange
259	schnell
260	spter
261	unserer
262	wrden
263	zunchst
264	beide
265	daten
266	kosten
267	platz
268	stunden
269	thema
270	deutsche
271	deutschen
272	einmal
273	erwartet
274	geben
275	kamen
276	nachdem
277	zweite
278	angebot
279	besucher
280	bitte
281	dm
282	denn
283	eswar
284	fall
285	gebude
286	programm
287	warum
288	wo
289	wochen
290	alles
291	bleiben
292	fnf
293	gemacht
294	hoch
295	ihren
296	ihrer
297	kostet
298	nchste
299	selbst
300	aktie
301	bericht
302	bild
303	diepolizei
304	fragen
305	mannschaft
306	milliarden
307	mitarbeiter
308	preise
309	woche
310	abgeschlossen
311	arbeiten
312	blieb
313	fest
314	ganze
315	genutzt
316	nichtmehr
317	spielt
318	starb
319	zusammen
320	zweiten
321	1
322	30
323	anlage
324	april
325	bilder
326	internet
327	land
328	projekt
329	situation
330	spieler
331	unser
332	ziel
333	anderen
334	braucht
335	darf
336	diesen
337	einige
338	fiel
339	fllt
340	habenwir
341	hohen
342	hlt
343	lag
344	sehen
345	sofort
346	stand
347	verloren
348	weiteren
349	weniger
350	15
351	blick
352	dadurch
353	dennoch
354	deutschland
355	gefahr
356	hand
357	haus
358	januar
359	leben
360	mai
361	mitglieder
362	name
363	oktober
364	partei
365	personen
366	rolle
367	team
368	verfgung
369	besonders
370	bisher
371	durchgefhrt
372	gesamte
373	gro
374	jeder
375	meine
376	schwer
377	sitzt
378	12
379	14
380	2008
381	anfang
382	angaben
383	angst
384	dienstag
385	geschft
386	mein
387	mrz
388	schule
389	schwerpunkt
390	system
391	tter
392	umsatz
393	acht
394	besser
395	bestimmt
396	entstand
397	funktioniert
398	gegeben
399	gerechnet
400	gerne
401	geschlossen
402	gestellt
403	groen
404	hin
405	luft
406	mehrere
407	msse
408	nimmt
409	sechs
410	spricht
411	tun
412	vergangenen
413	verletzt
414	verschiedenen
415	vier
416	vorgesehen
417	wirklich
418	wollte
419	zurverfgung
420	10
421	4
422	anschlieend
423	ausbildung
424	beispiel
425	bereich
426	chance
427	details
428	druck
429	einsatz
430	ergebnis
431	februar
432	gruppe
433	hhe
434	inzwischen
435	kunden
436	lsung
437	mittwoch
438	namen
439	politik
440	probleme
441	regel
442	suche
443	allen
444	andere
445	anders
446	angeboten
447	brauchen
448	eigentlich
449	erhltlich
450	erreicht
451	fhrt
452	gebe
453	gerade
454	geworden
455	gleich
456	grte
457	istauf
458	klar
459	kleine
460	musste
461	notwendig
462	offizielle
463	pro
464	seiner
465	sicher
466	sollten
467	spielen
468	verschiedene
469	weiterhin
470	wrde
471	zehn
472	zeigte
473	zufrieden
474	2001
475	3
476	40
477	5
478	6
479	analysten
480	auto
481	dezember
482	eltern
483	familie
484	freitag
485	gemeinde
486	gesellschaft
487	grad
488	interesse
489	juni
490	liebe
491	opfer
492	regierung
493	schritt
494	schler
495	trotzdem
496	wert
497	alte
498	ausgeschlossen
499	befindet
500	dagegen
501	entfernt
502	entspricht
503	fielen
504	fordert
505	fhren
506	ganzen
507	gegenber
508	gern
509	gewinnen
510	heit
511	herrscht
512	htten
513	jeden
514	jedenfalls
515	legte
516	mindestens
517	mittlerweile
518	neu
519	oft
520	sagte
521	setzt
522	steigt
523	stellen
524	untersttzt
525	voll
526	vorgestellt
527	weiterer
528	wichtige
529	zieht
530	berhaupt
531	200
532	50
533	aktion
534	antwort
535	bank
536	bayern
537	beginn
538	beitrag
539	bevlkerung
540	bundesregierung
541	brse
542	damals
543	donnerstag
544	eu
545	film
546	gastgeber
547	gesprch
548	inhalt
549	leute
550	mark
551	mensch
552	mutter
553	preis
554	recht
555	sachschaden
556	software
557	sprache
558	tagen
559	teilnehmer
560	wohnung
561	zahl
562	begann
563	beginnen
564	begonnen
565	bestehtaus
566	betrug
567	blieben
568	dauert
569	einzelne
570	endlich
571	erforderlich
572	erhielt
573	ermittelt
574	erreichen
575	folgt
576	freuen
577	gegrndet
578	gehren
579	genaue
580	gestiegen
581	gewann
582	gewesen
583	guter
584	hinter
585	kleinen
586	kommenden
587	lassen
588	leider
589	machte
590	mehrals
591	offenbar
592	scheint
593	sprach
594	stark
595	teilweise
596	verwendet
597	vorgenommen
598	whrend
599	zwar
600	000
601	19
602	2
603	arzt
604	august
605	auswahl
606	berliner
607	branche
608	diskussion
609	eur
610	erfahrungen
611	experten
612	fernsehen
613	firma
614	folge
615	glck
616	grnde
617	grnen
618	hinzu
619	jahrhundert
620	kindern
621	koalition
622	konkurrenz
623	mitte
624	november
625	plne
626	prozess
627	qualitt
628	schlielich
629	stelle
630	strae
631	tage
632	technik
633	untersuchung
634	urteil
635	veranstaltung
636	verein
637	verlust
638	wunsch
639	zahlen
640	zeichen
641	bald
642	bekommen
643	bentigen
644	besttigte
645	bislang
646	drfen
647	eingefhrt
648	enthlt
649	entscheidet
650	entsprechende
651	entwickelt
652	erhht
653	erneut
654	falsch
655	gar
656	gefunden
657	gelang
658	gelten
659	geffnet
660	groer
661	hilft
662	hingegen
663	indes
664	innerhalb
665	jeweiligen
666	kurz
667	lsst
668	meisten
669	mittels
670	nannte
671	politische
672	sagt
673	sehrgut
674	sieben
675	standen
676	stellt
677	unklar
678	unseren
679	voller
680	vllig
681	weist
682	weit
683	wenig
684	wichtigsten
685	1000
686	27
687	8
688	aktien
689	aufgaben
690	buch
691	davon
692	ergebnisse
693	frhjahr
694	gert
695	grnden
696	herbst
697	hilfe
698	ihrem
699	junge
700	kirche
701	kopf
702	krankenkassen
703	kritik
704	leistungen
705	liste
706	markt
707	mehrheit
708	monate
709	mnchner
710	nachfolger
711	nachmittag
712	nacht
713	nutzung
714	ort
715	person
716	plan
717	polizisten
718	praxis
719	prfung
720	quartal
721	raum
722	richtung
723	risiko
724	ruhe
725	sache
726	samstag
727	sicht
728	somit
729	spa
730	streit
731	stck
732	tradition
733	umgang
734	verfahren
735	versuch
736	vorsicht
737	vorwrfe
738	werte
739	wettbewerb
740	ziele
741	zug
742	zusammenarbeit
743	aktuellen
744	allem
745	andas
746	anerkannt
747	angelegt
748	angezeigt
749	bekommt
750	beteiligt
751	bilden
752	bildet
753	direkt
754	drfte
755	eben
756	entdeckt
757	entsprechenden
758	ergab
759	ergnzt
760	erhlt
761	erhhte
762	erstmals
763	euch
764	fand
765	fehlt
766	finde
767	folgte
768	frei
769	fhrten
770	geboren
771	geschtzt
772	gestern
773	gewonnen
774	gingen
775	guten
776	gutes
777	helfen
778	indem
779	komplett
780	letzte
781	letzten
782	los
783	meiner
784	meist
785	nahm
786	passiert
787	prsentiert
788	richtig
789	richtige
790	sah
791	schneller
792	sichtbar
793	solche
794	sorgen
795	stammt
796	startet
797	suchen
798	teilte
799	traf
800	verbessert
801	verkauft
802	verlangt
803	verndert
804	vorbei
805	warten
806	wies
807	wollten
808	wren
809	zb
810	zog
811	nderungen
812	berblick
813	13
814	1999
815	21
816	60
817	7
818	abend
819	amende
820	anbieter
821	anwendung
822	anzeige
823	arbeitspltze
824	art
825	artikel
826	aufgabe
827	augen
